image_url,scientific_name,genus,specific_epithet,year,habitat,county
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002227.jpg,Rubus frondosus,Rubus,frondosus,1926,Sandy - gravelly soil,Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000543.jpg,Carex aenea f. extrapolata,Carex,aenea,1938,"thin soil on diabase, top of cliff",Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001117.jpg,Eriophorum tenellum f. axillare,Eriophorum,tenellum,1949,In Sphagnum-Chamaedaphne swamp,Saint Louis
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001124.jpg,Erysimum syrticolum,Erysimum,syrticolum,1891,"high, sandy banks of [lake]",Lincoln
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000614.jpg,Chrysopsis ballardii,Chrysopsis,ballardii,1891,,Carver
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000422.jpg,Betula x rosendahlii,Betula,x rosendahlii,1929,on the rocks,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002380.jpg,Scirpus sylvaticus f. cephaloideus,Scirpus,sylvaticus,1892,sandy places near old lake beds,Mille Lacs
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01356/1356426.JPG,Amelanchier mucronata,Amelanchier,mucronata,1935,On upper rock outcrops,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01356/1356427.JPG,Amelanchier spicata,Amelanchier,spicata,1935,,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002574.jpg,Stellaria longifolia var. atrata,Stellaria,longifolia,1939,"Growing in sphagnum, white cedar bog",Lake of the Woods
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000139.jpg,Amelanchier wiegandii,Amelanchier,wiegandii,1935,upper ledges over bay,Cook
